Feature,Coefficients
Continent___East_Asia,2.29559104564887e-05
Continent___Europe,0.00013785874657335675
Continent___North_America,0.00015448155388939647
Continent___Others,0.00025788894102210714
Country___Austria,4.877410737386435e-05
Country___China,4.978772796284122e-05
Country___Dutch,1.965437506817979e-05
Country___France,0.00012264111659827386
Country___Germany,7.831945453081154e-05
Country___Japan,4.463630565219536e-08
Country___Others,8.147964605706227e-05
Country___Swiss,2.6186374199780407e-06
Country___UK,0.0002689140935056335
Country___USA,0.00018532604707930953
Genre___Others,0.0005274194977390133
Genre___Photography,0.0002126893006182954
Genre___Print,0.0002124566088143121
Genre___Sculpture,0.0003196673846352072
Tier___1,9.937961112411251e-05
Tier___2,0.0004087524040239414
Tier___3,4.062841889323851e-05
Tier___4,0.00015088176707700088
age,0.008317042412190447
artwork_order,0.004875372305837773
case_id,0.005453897167118919
cnt_max,0.002387604524382161
cnt_mean,0.004045170861687614
cnt_median,0.004546570060698352
cnt_min,0.0043838628909616565
cot_max,0.0018356813193491166
cot_mean,0.0029238077195151853
cot_min,0.0024519981881672595
degree_NA,4.949415494984398e-05
edu_NA,9.085668437668381e-05
edu_abroad,0.0002547744006550006
edu_both,0.0001441179856401164
edu_domestic,0.00016629690798562348
elite_award_not_received,0.0003659201512964979
elite_award_received,0.00021217646082008978
elite_school,0.0002617302540412449
elite_school_NA,4.0137340815463205e-05
estimate_center_usd,0.13461974362409093
estimate_max_usd,0.36252952545174844
estimate_min_usd,0.10959278452335583
estimate_range_usd,0.002878800399383174
fest_biennal,0.0007288520965272317
gender_NA,2.703732870014234e-07
gender_female,0.0002096953093144539
gender_male,0.0001799839324348362
grad,0.00023644356287298032
group_show,0.002240802121291995
height,0.004102995963665649
log10_estimate_geo_mean_usd,0.21136507583472544
max_price,0.0031302009145160814
meanprice_year,0.0044864121040917885
medianprice_year,0.0033939958951799245
min_price,0.002746734625391532
no_degree,0.00025230875308032653
non_elite_school,0.00016842045756254093
price_inch_prev_10_max,0.0026672923229470887
price_inch_prev_10_mean,0.002649648562437046
price_inch_prev_10_min,0.002924848062084456
price_inch_prev_3_max,0.0018691944057511191
price_inch_prev_3_mean,0.0023204484870183438
price_inch_prev_3_min,0.0023657024781536177
price_inch_prev_5_max,0.0018182430234347903
price_inch_prev_5_mean,0.0017737106258551454
price_inch_prev_5_min,0.001894250073229722
price_inch_prev_7_max,0.0025734534522405734
price_inch_prev_7_mean,0.0023584928954601143
price_inch_prev_7_min,0.0019335959983731432
price_same_size_prev_10_max,0.0023890407205955336
price_same_size_prev_10_mean,0.0023446308821597458
price_same_size_prev_10_min,0.0028192270397312032
price_same_size_prev_3_max,0.0024746011311860545
price_same_size_prev_3_mean,0.001982195678104793
price_same_size_prev_3_min,0.0031602745653976634
price_same_size_prev_5_max,0.0018902220864670824
price_same_size_prev_5_mean,0.0016588527156380967
price_same_size_prev_5_min,0.0024676511617339205
price_same_size_prev_7_max,0.001810120068941626
price_same_size_prev_7_mean,0.0017359823108241005
price_same_size_prev_7_min,0.002033271392286291
price_usd_prev_10_max,0.004111434699969083
price_usd_prev_10_mean,0.005583131982542807
price_usd_prev_10_min,0.004515013264037289
price_usd_prev_3_max,0.0026525060942694705
price_usd_prev_3_mean,0.002663386464040072
price_usd_prev_3_min,0.004149092207597307
price_usd_prev_5_max,0.0020045596234689535
price_usd_prev_5_mean,0.003108408143638899
price_usd_prev_5_min,0.002857483386068511
price_usd_prev_7_max,0.0023830581194817734
price_usd_prev_7_mean,0.004179727510561319
price_usd_prev_7_min,0.0024559731436335215
private_inst,0.001855151034285809
public_inst,0.0017706659902696187
ranking,0.002206508916075749
size_inchsqr,0.0023996210755948917
solo_show,0.0019171393458388372
undergrad,0.00017975820554257512
width,0.0032636036173312637
year,0.0027566493159238855
